Txn Id;Local timestamp;Type;Result;Product;Serial Number;Device Id;Device Commission Code;Business Id;Business Name;Business Commission Code;Amount;EAN;Retailer Margin Rate;Retailer Margin (Inc. Tax);Supplier Margin Rate;Supplier Margin (Inc. Tax);Transaction Margin Flat Fee;Channel Margin Rate;Channel Margin (Inc. Tax);Flixbus Service Fee;Retailer Margin manual calculation;Supplier Margin manual calculation;Channel Margin manual calculation
TTTA20778253385;2024-08-10T16:31:27.201;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185445232;99224;cwl2283001;91208;Schwarzinger;22830;38.99;2338828000001;5.000%;1.950;7.000%;2.729;0.020;0.500%;0.195;0.99;1.950;2.729;0.195
TTTA20778263426;2024-08-10T16:57:10.209;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185451130;99224;cwl2283001;91208;Schwarzinger;22830;23.00;2338828000001;5.000%;1.150;7.000%;1.610;0.020;0.500%;0.115;0.99;1.150;1.610;0.115
TTTA20778268995;2024-08-10T17:12:47.797;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185454808;119644;bdm2391403;97494;Wasinger;23914;130.99;2338828000001;5.000%;6.550;7.000%;9.169;0.020;0.500%;0.655;0.99;6.550;9.169;0.655
TTTA20778512566;2024-08-11T16:39:44.921;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185677037;99224;cwl2283001;91208;Schwarzinger;22830;23.00;2338828000001;5.000%;1.150;7.000%;1.610;0.020;0.500%;0.115;0.99;1.150;1.610;0.115
TTTA20778831297;2024-08-12T15:59:38.612;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185939626;99895;top1197203;90034;Huberts;11972;28.00;2338828000001;5.000%;1.400;7.000%;1.960;0.020;0.500%;0.140;0.99;1.400;1.960;0.140
TTTA20779052299;2024-08-13T10:35:32.239;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186124684;119644;bdm2391403;97494;Wasinger;23914;22.49;2338828000001;5.000%;1.125;7.000%;1.574;0.020;0.500%;0.112;0.99;1.125;1.574;0.112
TTTA20779086842;2024-08-13T11:50:22.264;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186142659;99224;cwl2283001;91208;Schwarzinger;22830;23.00;2338828000001;5.000%;1.150;7.000%;1.610;0.020;0.500%;0.115;0.99;1.150;1.610;0.115
TTTA20779150176;2024-08-13T14:45:03.777;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186188621;119960;top2551701;107992;Meisail;25517;18.99;2338828000001;5.000%;0.950;7.000%;1.329;0.020;0.500%;0.095;0.99;0.950;1.329;0.095
TTTA20779206440;2024-08-13T16:50:19.325;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186224208;119962;top2551703;107992;Meisail;25517;83.96;2338828000001;5.000%;4.198;7.000%;5.877;0.020;0.500%;0.420;0.99;4.198;5.877;0.420
TTTA20779512334;2024-08-14T14:48:19.495;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186461581;99894;top1197202;90034;Huberts;11972;27.00;2338828000001;5.000%;1.350;7.000%;1.890;0.020;0.500%;0.135;0.99;1.350;1.890;0.135
TTTA20779628973;2024-08-14T18:45:09.731;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186526950;99225;cwl2283002;91208;Schwarzinger;22830;115.50;2338828000001;5.000%;5.775;7.000%;8.085;0.020;0.500%;0.578;0.99;5.775;8.085;0.578
TTTA20779663194;2024-08-14T21:08:05.486;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186564180;121842;bdm2569201;109464;Friedenthal;25692;84.99;2338828000001;5.000%;4.250;7.000%;5.949;0.020;0.500%;0.425;0.99;4.250;5.949;0.425
TTTA20779671205;2024-08-14T22:12:49.475;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186580521;119960;top2551701;107992;Meisail;25517;35.99;2338828000001;5.000%;1.800;7.000%;2.519;0.020;0.500%;0.180;0.99;1.800;2.519;0.180
TTTA20779817824;2024-08-15T14:13:27.711;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186721150;119962;top2551703;107992;Meisail;25517;67.98;2338828000001;5.000%;3.399;7.000%;4.759;0.020;0.500%;0.340;0.99;3.399;4.759;0.340
TTTA20779872969;2024-08-15T16:49:54.119;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186763522;119960;top2551701;107992;Meisail;25517;97.98;2338828000001;5.000%;4.899;7.000%;6.859;0.020;0.500%;0.490;0.99;4.899;6.859;0.490
TTTA20779892496;2024-08-15T17:38:58.736;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186776056;119962;top2551703;107992;Meisail;25517;68.70;2338828000001;5.000%;3.435;7.000%;4.809;0.020;0.500%;0.344;0.99;3.435;4.809;0.344
TTTA20780018966;2024-08-16T08:19:06.363;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186908213;122009;top1644703;92570;Lesjak;16447;45.99;2338828000001;5.000%;2.300;7.000%;3.219;0.020;0.500%;0.230;0.99;2.300;3.219;0.230
